Title,Properties
Hartono Rekso Dharsono,"{'name': 'Hartono Rekso Dharsono', 'image': 'H. R. Dharsono.jpg', 'imagesize': '200px', 'office': 'Sekretaris Jenderal ASEAN ke-1', 'term_start': '5 Juni 1976', 'term_end': '18 Februari 1978', 'predecessor': 'Kantor dibuat', 'successor': 'Umarjadi Notrowijono', 'office1': 'Pangdam Siliwangi', 'term_start1': '1966', 'term_end1': '1969', 'predecessor1': 'Ibrahim Adjie', 'successor1': 'A.J. Witono Sarsanto', 'birth_place': 'Pekalongan, Jawa Tengah, Hindia Belanda (sekarang Indonesia)', 'death_place': 'Bandung, Jawa Barat, Indonesia', 'alma_mater': 'Institut Teknologi Bandung', 'profession': 'Diplomat', 'nationality': 'Indonesia', 'serviceyears': '1945—1969', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri'}"
Japto Soerjosoemarno,"{'name': 'Japto Soerjosoemarno', 'birth_date': '16 Desember 1949(Umur 73)', 'birth_place': 'Surakarta, Jawa Barat, Indonesia', 'occupation': 'Pemuda Pancasila, Politisi', 'years_active': '1968–Sekarang'}"
Subroto,"{'image': 'Subroto.jpg', 'office': 'Daftar Menteri Energi dan Sumber Daya Mineral Indonesia', '1': 'Menteri Pertambangan dan Energi Indonesia', 'order': 'ke-7', 'term_start': '29 Maret 1978', 'term_end': '21 Maret 1988', 'president': 'Soeharto', 'predecessor': 'Mohammad Sadli', 'successor': 'Ginandjar Kartasasmita', 'office2': 'Daftar Menteri Ketenagakerjaan Indonesia', '2': 'Menteri Tenaga Kerja, Transmigrasi, dan Koperasi Indonesia', 'order2': '< ref group= "" note ""  name= "" kop1 "" > Menteri Transmigrasi dan Koperasi (11 September 1971-28 Maret 1973); Menteri Tenaga Kerja, Transmigrasi, dan Koperasi (28 Maret 1973-29 Maret 1978). < /ref >', 'term_start2': '11 September 1971', 'term_end2': '29 Maret 1978', 'president2': 'Soeharto', 'predecessor2': 'M. Sarbini', 'successor2': 'Harun Zain < br > Radius Prawiro < br > Bustanil Arifin', 'birth_place': 'Sewu, Jebres, Surakarta, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta', 'nationality': 'Indonesia', 'spouse': 'Trisnawati', 'alma_mater': 'Universitas Indonesia', 'occupation': 'Akademisi', 'religion': 'Islam'}"
Soedjatmoko,"{'honorific_prefix': '< small > Dr. (H.C.) < /small >', 'name': 'Soedjatmoko', 'image': 'Soedjatmoko, Duta Besar RI untuk Amerika Serikat.jpg', 'caption': 'Soedjatmoko pada tahun 1978', 'birth_name': 'Soedjatmoko Mangoendiningrat', 'birth_date': '10 Januari 1922', 'birth_place': 'tepi|link=Hindia Belanda|17px Kota Sawahlunto, Sumatera Barat, Hindia Belanda', 'death_place': 'tepi|link=Indonesia|17px Yogyakarta, Indonesia', 'resting_place_coordinates': '< !--  -- >', 'ethnicity': '< !-- Ethnicity should be supported with a citation from a reliable source -- >', 'citizenship': 'tepi|link=Indonesia|17px Indonesia', 'occupation': 'Diplomat, akademisi', 'title': 'Anggota Konstituante', 'term': '1955–1959', 'predecessor': 'Tidak ada (dibentuk)', 'successor': 'Tidak ada (dibubarkan)', 'party': 'Partai Sosialis Indonesia', 'religion': 'Islam < ref name=rmaf/ >', 'spouse': 'Ratmini Gandasubrata', 'children': '3 putri: < br / > Kamala Chandrakirana < br / > Isna Marifa < br / > Galuh Wandita', 'parents': 'Saleh Mangoendiningrat  < small > (ayah) < /small > < br / > Isnadikin  < small > (ibu) < /small >', 'relatives': 'Miriam Budiardjo  < small > (adik perempuan) < /small > < br / > Nugroho Wisnumurti  < small > (adik laki-laki) < /small > < br / > Sutan Sjahrir  < small > (kakak ipar) < /small > < ref name=ugm/ >'}"
Alex Noerdin,"{'name': 'Alex Noerdin', 'image': 'File:Anggota DPR Alex Noerdin.jpg', 'imagesize': '250px', 'office': 'Anggota Dewan Perwakilan Rakyat Republik Indonesia', 'term_start': '1 Oktober 2019', 'term_end': '16 September 2021', 'constituency': 'Sumatera Selatan II', 'successor': 'Tofan Maulana', 'office2': 'Gubernur Sumatera Selatan', 'order2': 'ke-15', 'term_start2': '7 November 2008', 'term_end2': '21 September 2018', 'predecessor2': 'Mahyuddin N. S.', 'successor2': 'Hadi Prabowo (Pj.) < br > Herman Deru', 'office3': 'Bupati Musi Banyuasin', 'order3': 'ke-9', 'term_start3': '16 Januari 2001', 'term_end3': '14 Juni 2008', 'predecessor3': 'Nazom Nurhawi', 'successor3': 'Pahri Azhari', 'birth_place': 'Palembang, Sumatera Selatan, Indonesia', 'nationality': 'Indonesia', 'occupation': 'Pegawai Negeri SipilPolitikus', 'party': 'Partai Golongan Karya', 'spouse(s)': 'Sri Eliza', 'website': 'www.alexnoerdin.info'}"
Arie Jeffry Kumaat,"{'honorific-prefix': 'Letnan Jenderal TNI (Purn)', 'image': 'File:Letnan Jenderal Arie Jeffry Kumaat.jpg', 'office': 'Kepala Badan Koordinasi Intelijen Negara Ke-10', 'term_start': '1999', 'term_end': '2001', 'president': 'Abdurrahman Wahid', 'predecessor': 'Z.A. Maulani', 'successor': 'A.M. Hendropriyono', 'birth_place': 'Lansot, Tareran, Minahasa Selatan, Sulawesi Utara', 'death_place': 'Jakarta', 'serviceyears': '1966—1999', 'servicenumber': '20722', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri', 'mawards': 'Adhi Makayasa (1966)', 'relations': 'Letjen TNI G.H. Mantik (Ayah Mertua)', 'spouse': 'Ny. Dr. Maria Josephine Kumaat-Mantik, M.Hum', 'children': 'Henrie August Liddell Kumaat', 'occupation': 'Tentara', 'signature': 'Sign Letjen TNI (Purn) Arie J. Kumaat.png'}"
Sarwo Edhie Wibowo,"{'name': 'Sarwo Edhie Wibowo', 'image': 'Sarwo Edhie Wibowo, Irian Barat dari Masa ke Masa, p155-156.jpg', 'office': 'Duta Besar Indonesia untuk Korea Selatan', 'term_start': 'Mei 1973', 'term_end': 'Mei 1978', 'president': 'Soeharto', 'predecessor': 'Leonardus Benyamin Moerdani < br/ > < small > Pejabat Duta Besar < /small >', 'successor': 'Kaharuddin Nasution', 'office2': 'Panglima Komando Daerah Militer XVII/Cenderawasih', 'term_start2': '2 Juli 1968', 'term_end2': '20 Februari 1970', 'president2': 'Soeharto', 'predecessor2': 'R. Bintoro', 'successor2': 'Acub Zaenal', 'office4': 'Komandan Jenderal Komando Pasukan KhususKomandan Resimen Para Komando Angkatan Darat', 'order4': 'ke-5', 'term_start4': '1964', 'term_end4': '1967', 'predecessor4': 'Mung Parhadimulyo', 'successor4': 'Widjoyo Suyono', 'office3': 'Panglima Komando Daerah Militer II/Bukit Barisan', 'term_start3': '25 Juni 1967', 'term_end3': '2 Juli 1968', 'predecessor3': 'Sobiran', 'successor3': 'Leo Lopulisa', 'birth_place': 'Pangenjuru, Purworejo, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'spouse': 'Ny. Sunarti Sri Hadiyah', 'occupation': 'Tentara', 'serviceyears': '1942—1975', 'rank': '25px|  Jenderal TNI (HOR.)', 'unit': 'Infanteri (RPKAD)'}"
Haryono Suyono,"{'honorific-prefix': 'Prof., Dr.', 'name': 'Haryono Suyono', 'honorific-suffix': 'M.A, Ph.D.', 'image': 'Sixth Development Cabinet Poster (Haryono Suyono).jpg', 'office3': 'Ketua Umum Persatuan Wredatama Republik Indonesia', 'term_start3': '30 Januari 2011', 'term_end3': '21 Oktober 2021', 'predecessor3': 'Ruchadi', 'successor3': 'Marzuki Usman', 'office': 'Menteri Negara Koordinator Bidang Kesejahteraan Rakyat dan Pengentasan Kemiskinan Indonesia', 'order': 'ke-9', 'term_start': '16 Maret 1998', 'term_end': '20 Oktober 1999', 'president': 'Soeharto < br  / > B. J. Habibie', 'predecessor': 'Azwar Anas', 'successor': 'Hamzah Haz', 'birth_place': 'Pacitan, Jawa Timur, Hindia Belanda', 'spouse': 'Astuti Hasinah', 'children': 'Ria IndrastutiDewi PujiastutiFajar Wiryonodan Rina Mardiana (1968)', 'occupation': 'Pengusaha  < br/ >  Menteri', 'blank1': 'Agama', 'data1': 'Islam'}"
Jusuf Wanandi,"{'name': 'Jusuf Wanandi', 'birth_place': 'Sawahlunto, Sumatera Barat, Hindia Belanda', 'relations': 'Sofjan Wanandi (adik)', 'parents': 'Liem Gim To  &  Tjoa Gim Jong Nio', 'religion': 'Katolik'}"
Sofjan Wanandi,"{'name': 'Sofjan Wanandi', 'image': 'Sofjan Wanandi, Ketum APINDO 2003-2014.jpg', 'imagesize': '200px', 'office1': 'Daftar Ketua Umum Asosiasi Pengusaha Indonesia  Ketua Umum Asosiasi Pengusaha Indonesia', 'order1': 'ke-5', 'president1': 'Megawati Soekarnoputri < br > Susilo Bambang Yudhoyono < br > Joko Widodo', 'term_start1': '2003', 'term_end1': '24 November 2014', 'predecessor1': 'Soeparwanto', 'successor1': 'Hariyadi Budi Santoso Sukamdani', 'birth_place': 'Sawahlunto, Sumatera Barat, Hindia Belanda', 'relations': 'Jusuf Wanandi (Kakak)', 'parents': 'Liem Gim To  &  Tjoa Gim Jong Nio', 'spouse': 'Riantini Wanandi (The Gim Kiauw)', 'children': 'Emmanuel Lestarto Wanandi  A Lukito Wanandi  Paulus Witarsa Wanandi', 'alma_mater': 'Universitas Indonesia  Kolese Kanisius', 'occupation': 'Pemilik Gemala Group < ref > investing.businessweek.com. & ticker=DBK:GR & previousCapId=103375 & previousTitle=BAYER%20AG Sofjan Wanandi < /ref >', 'net_worth': 'US$635 juta (2019) < ref name=lifepal >  < /ref >'}"
Theo L. Sambuaga,"{'name': 'Theo Leo Sambuaga', 'image': 'Theo_sambuaga.jpg', 'office': 'Daftar Menteri Perumahan Rakyat IndonesiaMenteri Negara Perumahan Rakyat dan Permukiman', 'order': 'ke-4', 'president': 'Bacharuddin Jusuf Habibie', 'term_start': '23 Mei 1998', 'term_end': '27 September 1999', 'predecessor': 'Akbar Tanjung < br > < small > sebagai Menteri Negara Perumahan Rakyat dan Permukiman < /small >', 'successor': ""Muhammad Yusuf Asy'ari < br > < small > sebagai Menteri Negara Perumahan Rakyat (2004) < /small >"", 'office2': 'Daftar Menteri Tenaga Kerja dan Transmigrasi IndonesiaMenteri Tenaga Kerja Indonesia', 'order2': 'ke-19', 'president2': 'Soeharto', 'vicepresident2': 'Bacharuddin Jusuf Habibie', 'term_start2': '14 Maret 1998', 'term_end2': '21 Mei 1998', 'predecessor2': 'Abdul Latief', 'successor2': 'Fahmi Idris', 'birth_name': 'Theo L. Sambuaga', 'birth_place': 'Manado, Sulawesi Utara, Indonesia', 'nationality': 'Indonesia', 'spouse': 'Erna Sambuaga', 'relations': 'R. Soekardi (mertua)', 'children': 'Eddy Khrisna Patria SambuagaJerry Adithya Ksatria Sambuaga', 'occupation': 'Politikus', 'cabinet': 'Kabinet Pembangunan VIIKabinet Reformasi Pembangunan', 'religion': 'Kristen Protestan'}"
Nugroho Notosusanto,"{'honorific-prefix': '< small > Brigjen. TNI (Purn.) Prof. Dr. Raden Panji < /small >', 'image': 'Nugroho Notosusanto - Fourth Development Cabinet.jpg', 'office1': 'Menteri Pendidikan dan Kebudayaan Indonesia', 'order1': 'Ke-18', 'term_start1': '19 Maret 1983', 'term_end1': '3 Juni 1985', 'president1': 'Soeharto', 'predecessor1': 'Daoed Joesoef', 'successor1': 'Fuad Hassan', 'office3': 'Rektor Universitas Indonesia', 'order3': 'Ke-8', 'term_start3': '1982', 'term_end3': '1985', 'predecessor3': 'Mahar Mardjono', 'successor3': 'W. A. F. J. Tumbelaka < br/ > < small > (Sebagai Pejabat Rektor) < /small >', 'birth_place': 'Rembang, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'spouse': 'Irma Sawitri Ramelan', 'children': '3', 'alma_mater': 'Universitas Indonesia', 'occupation': 'Tentara  < br/ >  Akademisi', 'signature': ""Nugroho Notosusanto's Signature.svg"", 'branch': '25px TNI Angkatan Darat', 'rank': '25px Brigadir Jenderal TNI'}"
Mohammad Sadli,"{'image': 'M_sadli.jpg', 'office': 'Menteri Pertambangan Indonesia', 'order': 'ke-6', 'term_start': '28 Maret 1973', 'term_end': '28 Maret 1978', 'president': 'Soeharto', 'predecessor': 'Sumantri Brodjonegoro', 'successor': 'Soebroto', 'office1': 'Menteri Tenaga Kerja Indonesia', 'order1': 'ke-13', 'term_start1': '11 September 1971', 'term_end1': '28 Maret 1973', 'president1': 'Soeharto', 'predecessor1': 'Mursalin Daeng Mamangung', 'successor1': 'Soebroto', 'birth_place': 'Sumedang, Jawa Barat, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'spouse': 'Prof. Dr. Saparinah Sadli', 'occupation': 'Ekonom', 'religion': 'Islam'}"
Oemar Seno Adji,"{'honorific-prefix': '< !-- Hanya gelar kenegaraan/kehormatan (bukan gelar akademis/haji) -- >', 'name': 'Oemar Seno Adji', 'image': 'Oemar_Seno_Adji.png', 'caption': 'Potret Oemar Seno Adji sebagai Ketua Mahkamah Agung', 'office': 'Ketua Mahkamah Agung Republik Indonesia', 'order': 'ke-5', 'term_start': '22 Januari 1974', 'term_end': '9 Februari 1981', 'appointer': 'Soeharto', 'predecessor': 'Soebekti', 'successor': 'Mudjono', 'office1': 'Menteri Kehakiman Indonesia', 'order1': 'ke-15', 'term_start1': '25 Juli 1966', 'term_end1': '28 Maret 1973', 'president1': 'Soekarno < br >  Soeharto', 'predecessor1': 'Wirjono Prodjodikoro', 'successor1': 'Ali Said', 'birth_place': 'Surakarta, Hindia Belanda', 'nationality': '< !-- Hanya untuk warga negara asing -- >', 'children': 'Indriyanto Seno Adji', 'alma_mater': 'Universitas Gadjah Mada', 'religion': '< !-- Kosongkan bagian ini; kolom terkait Suku, Agama dan Ras telah dinonaktifkan -- >'}"
Moerdiono,"{'image': 'Sixth Development Cabinet Poster (Moerdiono).jpg', 'office1': 'Menteri Sekretaris Negara Indonesia', 'order1': 'ke-5', 'president1': 'Soeharto', 'term_start1': '21 Maret 1988', 'term_end1': '16 Maret 1998', 'predecessor1': 'Sudharmono', 'successor1': 'Saadilah Mursjid', 'office2': 'Sekretaris Kabinet Indonesia', 'order2': 'ke-3', 'president2': 'Soeharto', 'term_start2': '29 Maret 1983', 'term_end2': '23 Maret 1988', 'predecessor2': 'Hugeng Imam Santoso', 'successor2': 'Saadilah Mursjid', 'birth_place': 'Banyuwangi, Jawa Timur, Hindia Belanda', 'death_place': 'Singapura', 'party': 'Golkar (hingga 2008) < br > Gerindra (setelah 2008) < ref >  < /ref >', 'spouse': 'Maryati  Sundari Sukoco  Machica Mochtar  Poppy Dharsono', 'children': 'Pernikahan dengan Maryati:  Ninuk Mardiana Pambudy  Novianto Prakoso (alm)  Indrawan Budi Prasetyo  Baroto Joko Nugroho (alm)  Pernikahan siri dengan Machica Mochtar:  Iqbal Ramadhan', 'religion': 'Islam', 'signature': 'Sign Moerdiono.png', 'allegiance': 'Indonesia', 'serviceyears': '1965—1975', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat'}"
Widjojo Nitisastro,"{'honorific-prefix': 'Prof. Dr.', 'image': 'Widjojo Nitisastro (1977).jpg', 'office': 'Menteri Koordinator Bidang Ekonomi, Keuangan, dan Industri Indonesia', 'order': 'ke-2', 'president': 'Soeharto', 'term_start': '29 Maret 1973', 'term_end': '19 Maret 1983', 'predecessor': 'Hamengkubuwono IX', 'successor': 'Ali Wardhana', 'office1': 'Kepala Badan Perencanaan Pembangunan Nasional', 'order1': 'ke-8', 'president1': 'Soeharto', 'term_start1': '8 Juni 1967', 'term_end1': '19 Maret 1983', 'predecessor1': 'Ruslan Abdulgani', 'successor1': 'J. B. Sumarlin', 'office2': 'Menteri Negara Perencanaan Pembangunan Nasional Indonesia', 'order2': 'ke-4', 'president2': 'Soeharto', 'term_start2': '9 September 1971', 'term_end2': '28 Maret 1973', 'predecessor2': 'Ruslan Abdulgani', 'successor2': 'J. B. Sumarlin', 'birth_place': 'Keresidenan Malang, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'party': 'Golongan Karya', 'spouse': 'Siti Sudarsih', 'children': '2', 'alma_mater': 'Universitas Indonesia < br/ > University of California', 'religion': 'Islam'}"
Ali Wardhana,"{'honorific-prefix': '< small > Prof. Dr. < /small >', 'name': 'Ali Wardhana', 'image': 'Ali wardhana.jpg', 'office': 'Menteri Koordinator Bidang Ekonomi, Keuangan, Industri dan Pengawasan Pembangunan Republik IndonesiaMenteri Koordinator Bidang Ekonomi, Keuangan, Industri dan Pengawasan Pembangunan', 'order': 'ke-3', 'term_start': '19 Maret 1983', 'term_end': '23 Maret 1988', 'president': 'Soeharto', 'predecessor': 'Widjojo Nitisastro', 'successor': 'Radius Prawiro', 'office2': 'Menteri Keuangan Indonesia', 'order2': 'ke-15', 'term_start2': '6 Juni 1968', 'term_end2': '19 Maret 1983', 'president2': 'Soeharto', 'predecessor2': 'Frans Seda', 'successor2': 'Radius Prawiro', 'birth_place': 'Surakarta, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'party': 'Golongan Karya', 'spouse': 'Rendasih binti Sulaeman Sukantabrata', 'children': '4', 'residence': 'Karet Kuningan, Jakarta Selatan', 'relatives': 'Ali Sastroamidjojo (paman) \n Robertus Sanyoto (adek keponakan)', 'occupation': 'Ekonom  < br/ >  Penasehat Perekonomian', 'religion': 'Islam'}"
Yoga Sugama,"{'name': 'Yoga Sugama', 'image': 'Yoga Soegomo.jpg', 'imagesize': '200px', 'caption': 'Jenderal (Purn) Yoga Sugama', 'office': 'Kepala Badan Intelijen NegaraKepala Badan Koordinasi Intelijen Negara', 'order': 'Ke-4', 'term_start': 'Januari 1974', 'term_end': 'Juni 1989', 'president': 'Soeharto', 'predecessor': 'Sutopo Juwono', 'successor': 'Sudibyo', 'office1': 'Kepala Staf Komando Keamanan dan Ketertiban', 'term_start1': '1980', 'term_end1': '1989', 'president1': 'Soeharto', 'vicepresident1': 'Adam Malik < br/ > Umar Wirahadikusumah < br/ > Sudharmono', '1blankname1': 'Panglima Kopkamtib', '1namedata1': 'Sudomo < br/ > L.B. Moerdani', 'office2': 'Daftar Duta Besar Indonesia untuk Perserikatan Bangsa-BangsaDuta Besar Indonesia untuk Perserikatan Bangsa-Bangsa', 'order2': '7', 'term_start2': '1971', 'term_end2': '1974', 'president2': 'Soeharto', 'predecessor2': 'Roeslan Abdulgani', 'successor2': 'Khaidir Anwar Sani', 'office3': 'Daftar Kepala Badan Intelijen NegaraKepala Komando Intelijen Negara', 'order3': 'Ke-4', 'term_start3': '22 Agustus 1966', 'term_end3': '22 Mei 1967', 'president3': 'Soekarno < br/ > Soeharto', 'predecessor3': 'Soeharto', 'successor3': 'Soedirgo', 'birth_place': 'Tegal, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'servicenumber': '14527', 'branch': '25px TNI Angkatan Darat', 'allegiance': 'Indonesia', 'rank': '25px|  Jenderal TNI'}"
Joop Ave,"{'name': 'Joop Ave', 'image': 'Sixth Development Cabinet Poster (Joop Ave).jpg', 'office': 'Menteri Pariwisata, Pos, dan Telekomunikasi Indonesia', 'order': 'ke-4', 'president': 'Soeharto', 'term_start': '17 Maret 1993', 'term_end': '16 Maret 1998', 'predecessor': 'Soesilo Soedarman', 'successor': 'Abdul Latief', 'birth_place': 'Yogyakarta, Hindia Belanda', 'death_place': 'Singapura', 'nationality': 'Indonesia', 'party': 'Non partisipan', 'occupation': 'Politikus'}"
Soekarmen,"{'image': 'LETKOL INF SOEKARMEN.jpg', 'order': 'Ke-4', 'office': 'Gubernur Bali', 'term_start': '1967', 'term_end': '1978', 'predecessor': 'I Gusti Putu Martha', 'successor': 'Ida Bagus Mantra', 'birth_place': 'Blitar, Jawa Timur, Hindia Belanda', 'death_place': 'Malang, Jawa Timur, Indonesia', 'nationality': 'Indonesia', 'allegiance': 'Indonesia', 'rank': '25px Brigadir Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri', 'religion': 'Islam'}"
Boediardjo,"{'image': 'Het koninklijk paar tijdens een dienst in de Willemskerk in Jakarta, Bestanddeelnr 254-9022 (Boediardjo).jpg', 'office': 'Duta Besar Indonesia untuk Spanyol', 'term_start': '1976', 'term_end': '1979', 'president': 'Soeharto', 'predecessor': 'Tidak ada, posisi baru', 'successor': 'Soerodjo Sarni', 'office1': 'Menteri Penerangan Indonesia', 'order1': 'ke-19', 'term_start1': '6 Juni 1968', 'term_end1': '28 Maret 1973', 'president1': 'Soeharto', 'predecessor1': 'B. M. Diah', 'successor1': 'Mashuri Saleh', 'office2': 'Duta Besar Indonesia untuk Kamboja', 'term_start2': '1965', 'term_end2': '1968', 'president3': 'Soekarno < br/ > Soeharto', 'predecessor2': 'Abdul Karim Rasyid', 'successor2': 'Suharnoko Harbani', 'birth_place': 'Magelang, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'rank': '25px Marsekal Madya TNI', 'branch': '25px TNI Angkatan Udara', 'unit': 'Korps Penerbang', 'spouse': 'Sri Redjeki', 'children': '4', 'religion': 'Islam'}"
Sumantri Brodjonegoro,"{'honorific-prefix': '< !-- Hanya gelar kehormatan/kenegaraan (non-akademis) -- >', 'image': 'Koningin op de tweede dag van het staatsbezoek, Bestanddeelnr 254-9019 (Soemantri Brodjonegoro).jpg', 'office': 'Menteri Pendidikan dan Kebudayaan Indonesia', 'order': 'ke-15', 'term_start': '28 Maret 1973', 'term_end': '18 Desember 1973', 'president': 'Soeharto', 'predecessor': 'Mashuri Saleh', 'successor': 'Syarief Thayeb', 'office2': 'Menteri Pertambangan Indonesia', 'order2': 'ke-5', 'term_start2': '17 Oktober 1967', 'term_end2': '28 Maret 1973', 'president2': 'Soeharto', 'predecessor2': 'Slamet Bratanata', 'successor2': 'Mohammad Sadli', 'office4': 'Presidium Institut Teknologi Bandung', 'order4': 'ke-1', 'term_start4': '2 Maret 1959', 'term_end4': '1 November 1959', 'predecessor4': 'Periode FT  &  FIPIA UI Bandung', 'office3': 'Rektor Universitas Indonesia', 'order3': 'ke-6', 'term_start3': '1964', 'term_end3': '1973', 'predecessor3': 'Syarief Thayeb', 'successor3': 'Slamet Iman Santoso < br/ > < small > (Sebagai Pejabat Rektor) < /small >', 'birth_place': 'Semarang, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'children': '3, termasuk Bambang Permadi Soemantri Brodjonegoro < !-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -- >', 'alma_mater': 'Sekolah Tinggi Teknik Bandung < br / > Technische Universiteit Delft < br / >', 'occupation': 'Akademisi', 'religion': '< !--Islam-- >'}"
Oetojo Oesman,"{'image': 'Sixth Development Cabinet Poster (Oetojo Oesman).jpg', 'office': 'Menteri Kehakiman Indonesia', 'order': 'ke-20', 'term_start': '17 Maret 1993', 'term_end': '16 Maret 1998', 'president': 'Soeharto', 'predecessor': 'Ismail Saleh', 'successor': 'Muladi', 'birth_place': 'Batavia, Hindia Belanda', 'nationality': 'Indonesia', 'children': 'Dewi Asmara', 'alma_mater': 'Universitas Indonesia', 'profession': 'Menteri', 'religion': 'Islam'}"
Soedjarwo,"{'image': 'Soedjarwo.gif', 'office': 'Menteri Kehutanan Indonesia', 'order': 'ke-1', 'term_start': '27 Juli 1964', 'term_end': '25 Juli 1966', 'president': 'Soekarno', 'predecessor': 'Tidak Ada; jabatan baru', 'term_start2': '19 Maret 1983', 'term_end2': '21 Maret 1988', 'president2': 'Soeharto', 'successor2': 'Hasjrul Harahap', 'birth_place': 'Wonogiri, Jawa Tengah, Indonesia', 'death_place': 'Singapura', 'nationality': 'Indonesia'}"
G.A. Siwabessy,"{'honorific_prefix': 'Prof. dr.', 'image': 'G. A. Siwabessy, Menkes - Anggota Kabinet Pembangunan II.jpg', 'image_size': '200px', 'alt': 'Portret Resmi pada tahun 1973', 'caption': 'Portret Resmi, 1973', 'order': 'ke-9', 'office': 'Kementerian Kesehatan IndonesiaMenteri Kesehatan', 'term_start': '25 Juli 1966', 'term_end': '29 Maret 1978', 'president': 'Soekarno < br > Soeharto', 'predecessor': 'Satrio', 'successor': 'Suwardjono Surjaningrat', 'birth_place': 'Ullath, Saparua Timur, Maluku Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'party': 'Independen', 'occupation': 'Ilmuwan, dokter, Politikus', 'religion': 'Kristen Protestan', 'father': 'Enoch Siwabessy', 'mother': 'Naatje Manuhutu'}"
Syarief Thayeb,"{'honorific-prefix': '< small > Letnan Jenderal TNI (Purn.) Dr. (H.C.) dr. < /small >', 'image': '21 teukusyarifthayeb.jpg', 'office': 'Menteri Pendidikan dan Kebudayaan Indonesia', 'order': 'ke-16', 'term_start': '22 Januari 1974', 'term_end': '29 Maret 1978', 'president': 'Soeharto', 'predecessor': 'Soemantri Brodjonegoro', 'successor': 'Daoed Joesoef', 'predecessor4': 'Thoyib Hadiwidjaja', 'successor4': 'Johannes Leimena', 'office4': 'Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia', 'order4': 'ke-3', 'term_start4': '27 Agustus 1964', 'term_end4': '24 Februari 1966', 'president4': 'Soekarno', 'term_start5': '18 Maret 1966', 'term_end5': '27 Maret 1966 < br > ad-interim', 'predecessor5': 'Johannes Leimena', 'successor5': 'Mashuri Saleh', 'office1': 'Menteri Luar Negeri Indonesia', 'order1': '< br/ > < small > ad-interim < /small >', 'president1': 'Soeharto', 'term_start1': '1 Oktober 1977', 'term_end1': '29 Maret 1978', 'predecessor1': 'Adam Malik', 'successor1': 'Mochtar Kusumaatmadja', 'office3': 'Duta Besar Indonesia untuk Amerika Serikat', 'order3': 'ke-7', 'term_start3': '1971', 'term_end3': '1974', 'predecessor3': 'Soedjatmoko', 'successor3': 'Roesmin Noerjadin', 'office6': 'Rektor Universitas Indonesia', 'order6': 'ke-5', 'term_start6': '1962', 'term_end6': '1964', 'predecessor6': 'Soedjono D. Poesponegoro', 'successor6': 'Sumantri Brodjonegoro', 'birth_place': 'Peureulak, Aceh, Hindia Belanda', 'parents': 'Teuku Chik Mohammad Thayeb', 'relatives': 'Teuku Mohammad Hadi Thayeb (saudara)', 'alma_mater': 'Ika Dai Gaku < br/ > Harvard University < br/ > Mindanao University', 'occupation': 'Tentara  < br/ >  Dokter', 'religion': 'Islam'}"
Rachmat Saleh,"{'image': 'Rachmat Saleh.jpg', 'caption': 'Rachmat pada 1986', 'office': 'Menteri Perdagangan Indonesia', 'order': 'ke-21', 'term_start': '19 Maret 1983', 'term_end': '21 Maret 1988', 'president': 'Soeharto', 'predecessor': 'Radius Prawiro', 'successor': 'Arifin Siregar', 'office1': 'Gubernur Bank Indonesia', 'order1': 'ke-7', 'term_start1': '5 April 1973', 'term_end1': '16 Maret 1983', 'president1': 'Soeharto', 'predecessor1': 'Radius Prawiro', 'successor1': 'Arifin Siregar', 'birth_place': 'Surabaya, Jawa Timur, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'alma_mater': 'Universitas Indonesia', 'religion': 'Islam', 'signature': 'Sign Rachmat Saleh (Gubernur BI).png'}"
