a,type,label,wiki
http://127.0.0.1:3333/PanglimaPolem,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Panglima Polem,
http://127.0.0.1:3333/TeungkuChikdiTiro,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Teungku Chik di Tiro,
http://127.0.0.1:3333/SangRamaWijayaTunggaWarman,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Sang Rama Wijaya Tungga Warman,
http://127.0.0.1:3333/RajendraChola,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Rajendra Chola,
http://127.0.0.1:3333/KekaisaranChola,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kekaisaran Chola,
http://127.0.0.1:3333/KekaisaranPrancisPertama,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kekaisaran Prancis Pertama,
http://127.0.0.1:3333/KarelFelixvanSteijnvanHensbroek,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Karel Felix van Steijn van Hensbroek,
http://127.0.0.1:3333/SingsehKhePandjang,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Singseh   Khe Pandjang ,
http://127.0.0.1:3333/KolonelStuers,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kolonel Stuers,
http://127.0.0.1:3333/KekuatanKesultananPalembang,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kekuatan Kesultanan Palembang,
http://127.0.0.1:3333/PutriPitaloka,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Putri Pitaloka,
http://127.0.0.1:3333/TumenggungCitrasomaIV,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tumenggung Citrasoma IV,
http://127.0.0.1:3333/CornelisvanBiesheuvel,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Cornelis van Biesheuvel,
http://127.0.0.1:3333/RakyatKamang,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Rakyat Kamang,
http://127.0.0.1:3333/PutriKerajaanSunda,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Putri Kerajaan Sunda,
http://127.0.0.1:3333/BhreWirabhumi,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Bhre Wirabhumi,
http://127.0.0.1:3333/GuoLiuGuan,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Guo Liu Guan,
http://127.0.0.1:3333/TanKeeWie,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tan Kee Wie,
http://127.0.0.1:3333/BartholomeusVisscher,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Bartholomeus Visscher,
http://127.0.0.1:3333/PasukangabunganTionghoadanJawa,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pasukan gabungan Tionghoa dan Jawa,
http://127.0.0.1:3333/Singseh,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Singseh,
http://127.0.0.1:3333/KweeAnSay,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kwee An Say,
http://127.0.0.1:3333/PanjiMargono,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Panji Margono,
http://127.0.0.1:3333/KyaiAliBadawi,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kyai Ali Badawi,
http://127.0.0.1:3333/Sora,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Sora,
http://127.0.0.1:3333/MarinusBernardusRostvanTonningen,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Marinus Bernardus Rost van Tonningen,
http://127.0.0.1:3333/MayorJendralCochius,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Mayor Jendral Cochius,
http://127.0.0.1:3333/MayorLaemlin,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Mayor Laemlin,
http://127.0.0.1:3333/RajoAlam,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Rajo Alam,
http://127.0.0.1:3333/TuankuRao,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tuanku Rao,
http://127.0.0.1:3333/KaptenPoland,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kapten Poland,
http://127.0.0.1:3333/LetnanKolonelBauer,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Letnan Kolonel Bauer,
http://127.0.0.1:3333/MayorduBus,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Mayor du Bus,
