iri,id
TheoL.Sambuaga,Q17411225,Theo Leo Sambuaga
ErwinAksa,Q65204733,Erwin Aksa
OesmanSaptaOdang,Q12501197,Oesman Sapta Odang
IbnuSutowo,Q5984338,Ibnu Sutowo
R.Soebijakto,Q17411398,R. Soebijakto
JaySubiyakto,Q17411437,Jay Subiyakto
IpikAsmasoebrata,Q61054590,Ipik Asmasoebrata
AlexAsmasoebrata,Q104627897,Alex Asmasoebrata
AhmadMumtazRais,Q16164694,Ahmad Mumtaz Rais
Ruzaina,Q109723308,Ruzainah Karim
SaifuddinZuhri,Q14404735,Saifuddin Zuhri
LukmanHakimSaifuddin,Q16188358,Lukman Hakim Saifudin
ErikHidayat,Q123713774,Erik Hidayati
AchmadWiranatakusumah,Q97306748,Achmad Wiranatakusumah
WidjojoSoejono,Q97228369,Widjojo Soejono
TommySoeharto,Q3177695,Tommy Suharto
MasIsman,Q24284592,Mas Isman
AlexandraAsmasoebrata,Q12471455,Alexandra Asmasoebrata
WahyuSanjaya,Q96989529,Wahyu Sanjaya
Moeljadi,Q17410747,Moeljadi
SitiHartinah,Q4201169,Tien Soeharto
KemalIdris,Q6386828,Kemal Idris
Fatmawati,Q468519,Fatmawati
GusmanGaus,Q12484978,Gusman Gaus
PakubuwanaX,Q2330098,Pakubuwono X
Odang,Q757015,Usagi Tsukino
SitiKholilah,Q109723315,Siti Kholilah Rahardjo
SitiKatoemiWirodihardjo,Q98635921,Siti Katoemi Wirodihardjo
MelanchtonSiregar,Q64758802,Melanchton Siregar
JusufWanandi,Q6318658,Jusuf Wanandi
Soeharto,Q99864504,Soeharto
SunartiSriHadiyah,Q101424647,Sunarti Sri Hadiyah
DodiRezaAlexNoerdin,Q25468888,Dodi Reza Alex Noerdin
AlexNoerdin,Q4717563,Alex Noerdin
HajiAbdullah,Q97262519,Haji Abdullah
HartartoSastrosoenarto,Q12485357,Hartarto Sastrosoenarto
SitiKhadijah,Q115206554,Siti Khadijah
SayutiMelik,Q7429323,Sayuti Melik
MargonoDjojohadikoesoemo,Q19746197,Margono Djojohadikoesoemo
SimonSimatupang,Q125848153,Simon Simatupang
TeukuChikMohammadThayeb,Q19748953,Teuku Chik Mohammad Thayeb
PakuAlamVII,Q2266005,Paku Alam VII
MaradenPanggabean,Q4343894,Maraden Saur Halomoan Panggabean
RatuEmmaNorma,Q120221744,Ratu Emma Norma
ManaiSophiaan,Q12496499,Manai Sophiaan
SoekarnoM.Noor,Q3747301,Soekarno M. Noer
DylanSada,Q123486291,Dylan Sada
RamonPapana,Q12507850,Ramon Papana
AliSastroamidjojo,Q2669326,Ali Sastroamidjojo
AndikaPerkasa,Q18421241,Andika Perkasa
TinoKarno,Q16187597,Tino Karno
ZainalBasriPalaguna,Q12525391,Zainal Basri Palaguna
PayungBangun,Q119279354,Payung Bangun
SutiKarno,Q12518242,Suti Karno
Soekardi,Q85992758,Soekardi
SusiloBambangYudhoyono,Q57405,Susilo Bambang Yudhoyono
TeukuMohammadHadiThayeb,Q12485046,Hadi Thayeb
H.Supardi,Q109449990,Supardi
AniYudhoyono,Q4200758,Ani Yudhoyono
TrySutrisno,Q76333,Try Sutrisno
LadyaCheryl,Q16172449,Ladya Cheryl
RobertusSanyoto,Q115869281,Robertus Sanyoto
BimoSetiawanAlmachzumi,Q7314466,Bimo Setiawan Almachzumi
JusufKalla,Q76354,Jusuf Kalla
AliWardhana,Q13091528,Ali Wardhana
TaufikHidayat,Q660145,Taufik Hidayat
IsmedM.Noor,Q12486820,Ismed M. Noor
AnwarTjokroaminoto,Q84836232,Anwar Tjokroaminoto
HarsonoTjokroaminoto,Q18421456,Harsono Tjokroaminoto
SitiOetari,Q12515522,Siti Oetari
Sakirman,Q17411209,Sakirman
MohammadNatsir,Q2327343,Mohammad Natsir
SoepardjoRustam,Q12515771,Soepardjo Rustam
HamengkubuwanaIX,Q76227,Hamengkubuwono IX
MursalinDaengMamangung,Q12499604,Mursalin Daeng Mamangung
IwaKoesoemasoemantri,Q10975733,Iwa Koesoemasoemantri
Soemitro,Q7553510,Soemitro Djojohadikoesoemo
IgnatiusJosephKasimoHendrowahyono,Q13534328,Ignatius Joseph Kasimo Hendrowahyono
Maskanan,Q120202074,Maskanan
TutiSutiawati,Q108483499,Tuti Sutiawati
DavidAlex,Q42622482,David Alex
Daryatmo,Q12480975,Daryatmo
Soekarmen,Q12515754,Soekarmen
DjatmikantoDanumartono,Q110102646,Djatmikanto Danumartono
Mar'ieMuhammad,Q17410790,Mar'ie Muhammad
TandionoManu,Q109905042,Tandiono Manu
HoegengImanSantoso,Q4595763,Hoegeng Imam Santoso
AgustinusSutardhio,Q97196583,Agustinus Sutardhio
AidaZulaikaNasution,Q25469485,Aida Zulaika Nasution
TungkiAriwibowo,Q12522748,Tungki Ariwibowo
Harmoko,Q2092123,Harmoko
RogérioLobato,Q786377,Rogério Lobato
Tjokropranolo,Q12521734,Tjokropranolo
SoetjiptoJoedodihardjo,Q4595588,Soetjipto Joedodihardjo
MasTirtodarmoHaryono,Q2603608,M. T. Haryono
BobHasan,Q4932722,Bob Hasan
Soebekti,Q12507534,Soebekti
SetiadiReksoprodjo,Q58924768,Setiadi Reksoprodjo
Notohamiprodjo,Q19752307,Notohamiprodjo
Soeweno,Q105342433,Soeweno
IzaacHindom,Q104174572,Izaac Hindom
OsaMalikiWangsadinata,Q25462186,Osa Maliki Wangsadinata
MohamadRoem,Q2746664,Mohammad Roem
DadangSuprayogi,Q99520704,Dadang Suprayogi
Z.A.Maulani,Q17411746,Z.A. Maulani
BambangSoegeng,Q16169940,Bambang Soegeng
B.M.Diah,Q16174471,B. M. Diah
MuhammadDahlan,Q12499346,Muhammad Dahlan
